rank,prev_rank,name,league,off,def,spi
437,432,Fuenlabrada,Spanish Segunda Division,0.72,1.32,30.01
438,434,Wellington Phoenix,Australian A-League,1.13,1.89,29.95
439,435,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
440,426,Silkeborg,Danish SAS-Ligaen,1.08,1.82,29.94
441,464,Kayserispor,Turkish Turkcell Super Lig,1.15,1.93,29.81
442,438,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
443,427,Jahn Regensburg,German 2. Bundesliga,1.09,1.85,29.72
444,440,Kilmarnock,Scottish Premiership,0.91,1.6,29.68
445,441,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
446,443,VVV Venlo,Dutch Eredivisie,1.04,1.8,29.59
447,444,Vegalta Sendai,Japanese J League,0.88,1.57,29.56
448,446,Coventry City,English League One,0.83,1.49,29.55
449,454,Hobro IK,Danish SAS-Ligaen,0.89,1.59,29.4
450,449,Auxerre,French Ligue 2,0.77,1.42,29.4
451,447,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.0,1.75,29.34
452,450,Motherwell,Scottish Premiership,0.92,1.64,29.13
453,451,Fortuna Sittard,Dutch Eredivisie,1.04,1.81,29.12
454,455,Stabaek,Norwegian Tippeligaen,0.93,1.68,28.91
455,504,St. Pölten,Austrian T-Mobile Bundesliga,1.05,1.86,28.66
456,468,Erzgebirge Aue,German 2. Bundesliga,0.93,1.7,28.46
457,456,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
458,452,SK Brann,Norwegian Tippeligaen,0.91,1.68,28.43
459,457,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
460,445,Viking FK,Norwegian Tippeligaen,1.1,1.95,28.41
461,453,Esbjerg,Danish SAS-Ligaen,1.02,1.84,28.25
462,459,AS Nancy Lorraine,French Ligue 2,0.73,1.42,28.24
463,473,Albacete,Spanish Segunda Division,0.67,1.35,28.07
464,461,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
465,448,Lamia,Greek Super League,0.63,1.28,27.99
466,462,RKC,Dutch Eredivisie,1.04,1.89,27.95
467,463,Indy Eleven,United Soccer League,0.95,1.76,27.92
468,465,Tampa Bay Rowdies,United Soccer League,0.96,1.79,27.74
469,460,Numancia,Spanish Segunda Division,0.79,1.53,27.72
470,466,Miami FC,United Soccer League,1.06,1.93,27.69
471,478,Haugesund,Norwegian Tippeligaen,0.99,1.83,27.64
472,469,Chievo Verona,Italy Serie B,0.78,1.53,27.58
473,470,Western Sydney FC,Australian A-League,1.09,1.99,27.53
474,471,Nashville SC,Major League Soccer,0.86,1.65,27.53
475,474,Doncaster Rovers,English League One,0.84,1.65,27.3
476,475,San Antonio FC,United Soccer League,1.1,2.02,27.27
477,476,Panetolikos,Greek Super League,0.8,1.58,27.23
478,467,Lyngby,Danish SAS-Ligaen,0.89,1.71,27.2
479,498,SV Wehen Wiesbaden,German 2. Bundesliga,1.11,2.04,27.09
480,458,FC St. Pauli,German 2. Bundesliga,0.96,1.84,26.99
481,479,Extremadura UD,Spanish Segunda Division,0.74,1.51,26.92
482,481,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
483,483,Fleetwood Town,English League One,0.81,1.62,26.75
484,485,Orange County SC,United Soccer League,0.96,1.85,26.69
485,486,Melbourne Victory,Australian A-League,1.08,2.03,26.62
486,494,Stromsgodset,Norwegian Tippeligaen,1.05,1.99,26.61
487,487,Louisville City FC,United Soccer League,0.96,1.87,26.54
488,477,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,0.98,1.89,26.52
489,488,Adelaide United,Australian A-League,1.15,2.14,26.51
490,489,KV Oostende,Belgian Jupiler League,0.97,1.88,26.49
491,492,Shimizu S-Pulse,Japanese J League,1.07,2.03,26.23
492,493,FC Xanthi,Greek Super League,0.62,1.38,26.18
493,484,Empoli,Italy Serie B,0.8,1.67,25.88
494,491,Racing Santander,Spanish Segunda Division,0.76,1.61,25.82
495,495,Chambly Thelle FC,French Ligue 2,0.76,1.61,25.81
496,496,Grenoble,French Ligue 2,0.73,1.56,25.8
497,482,Valerenga,Norwegian Tippeligaen,0.93,1.88,25.71
498,501,Dynamo Dresden,German 2. Bundesliga,0.84,1.74,25.7
499,497,Rodez,French Ligue 2,0.76,1.61,25.61
500,506,Cremonese,Italy Serie B,0.79,1.67,25.6
501,499,Brisbane Roar,Australian A-League,0.91,1.85,25.41
502,500,Western United,Australian A-League,1.01,2.01,25.37
503,502,Oita Trinita,Japanese J League,0.65,1.48,25.06
504,490,Lugo,Spanish Segunda Division,0.66,1.49,25.05
505,503,Vancouver Whitecaps,Major League Soccer,0.92,1.9,25.01
506,505,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.89
507,507,Sochaux,French Ligue 2,0.68,1.55,24.74
508,509,Reno 1868 FC,United Soccer League,0.98,2.02,24.53
509,510,Paris FC,French Ligue 2,0.69,1.58,24.49
510,523,IK Sirius,Swedish Allsvenskan,0.89,1.91,24.35
511,511,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
512,512,Le Mans,French Ligue 2,0.83,1.82,24.08
513,513,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
514,514,Sagan Tosu,Japanese J League,0.74,1.69,24.05
515,519,Virtus Entella,Italy Serie B,0.78,1.76,23.97
516,516,Ipswich Town,English League One,0.71,1.65,23.91
517,518,Orebro SK,Swedish Allsvenskan,0.87,1.9,23.84
518,517,FC Cincinnati,Major League Soccer,0.92,1.99,23.81
519,508,Volos NFC,Greek Super League,0.71,1.65,23.74
520,520,Chateauroux,French Ligue 2,0.72,1.69,23.5
521,521,Waasland-Beveren,Belgian Jupiler League,0.86,1.92,23.38
522,522,Sacramento Republic FC,United Soccer League,0.85,1.92,23.23
523,541,Panionios,Greek Super League,0.59,1.51,23.16
524,524,Cosenza,Italy Serie B,0.68,1.66,23.01
525,525,Gillingham,English League One,0.66,1.64,22.95
526,526,Austin Bold FC,United Soccer League,0.85,1.93,22.94
527,527,St Johnstone,Scottish Premiership,0.7,1.7,22.91
528,529,Pittsburgh Riverhounds,United Soccer League,0.78,1.83,22.77
529,530,Hearts,Scottish Premiership,0.83,1.92,22.76
530,532,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
531,533,Shonan Bellmare,Japanese J League,0.86,1.99,22.29
532,534,Perugia,Italy Serie B,0.65,1.66,22.08
533,535,Niort,French Ligue 2,0.76,1.87,21.87
534,536,Real Monarchs SLC,United Soccer League,0.91,2.1,21.86
535,538,US Pescara,Italy Serie B,0.76,1.87,21.85
536,537,Saint Louis FC,United Soccer League,0.79,1.92,21.8
537,542,F.B.C Unione Venezia,Italy Serie B,0.66,1.71,21.73
538,528,Salernitana,Italy Serie B,0.62,1.67,21.46
539,550,Trapani,Italy Serie B,0.74,1.87,21.29
540,539,Burton Albion,English League One,0.87,2.09,21.18
541,515,Pordenone Calcio,Italy Serie B,0.69,1.83,20.89
542,540,Sarpsborg,Norwegian Tippeligaen,0.69,1.82,20.81
543,543,Mjondalen,Norwegian Tippeligaen,0.73,1.9,20.7
544,544,St Mirren,Scottish Premiership,0.62,1.71,20.7
545,531,Kalmar FF,Swedish Allsvenskan,0.71,1.89,20.42
546,545,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
547,546,Hamilton Academical,Scottish Premiership,0.75,1.95,20.34
548,551,Östersunds FK,Swedish Allsvenskan,0.74,1.95,20.34
549,547,North Carolina FC,United Soccer League,0.79,2.03,20.3
550,548,Swindon Town,English League Two,0.76,1.98,20.19
551,558,Pisa,Italy Serie B,0.67,1.83,20.19
552,549,Lincoln City,English League One,0.7,1.9,20.12
553,575,Mjallby,Swedish Allsvenskan,0.69,1.9,19.76
554,552,Plymouth Argyle,English League Two,0.71,1.95,19.65
555,553,Orléans,French Ligue 2,0.66,1.88,19.39
556,555,Blackpool,English League One,0.64,1.86,19.26
557,556,Milton Keynes Dons,English League One,0.62,1.82,19.21
558,557,Portland Timbers 2,United Soccer League,0.96,2.4,19.15
559,566,Aalesund,Norwegian Tippeligaen,0.8,2.14,19.03
560,559,Crewe Alexandra,English League Two,0.77,2.09,19.01
561,560,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
562,561,Wycombe Wanderers,English League One,0.64,1.9,18.61
563,554,Livorno,Italy Serie B,0.67,1.97,18.41
564,564,Ross County,Scottish Premiership,0.72,2.07,18.38
565,569,El Paso Locomotive FC,United Soccer League,0.58,1.87,17.78
566,570,New Mexico United,United Soccer League,0.73,2.13,17.77
567,571,Varbergs BoIS FC,Swedish Allsvenskan,0.64,1.98,17.71
568,572,Accrington Stanley,English League One,0.67,2.04,17.61
569,573,Oklahoma City Energy FC,United Soccer League,0.72,2.12,17.58
570,574,San Diego Loyal SC,United Soccer League,0.67,2.05,17.5
571,563,Ascoli,Italy Serie B,0.65,2.01,17.48
572,576,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
573,578,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
574,577,Helsingborgs IF,Swedish Allsvenskan,0.64,2.02,17.12
